Sample,a1,a2,a3,a4,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
114,0,0,0,0,0,22971,26502,36731,30463,76318,0,33539,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,67753,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,45,0,33897,0,0,6170,13,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,15,0,17079,23098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,28,20,57,7,10,7024,0,2,2,0,0,0,0,0,0,0,0,0
119,0,0,0,0,54,33,13,16,10,16621,0,10,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,30,20,9335,11,3,5255,0,6,4,0,0,0,0,0,0,0,0,0
121,0,0,0,0,2715,8,17660,0,3518,1640,0,0,3364,0,0,0,0,0,0,0,0,0
122,0,0,0,0,57752,196376,0,10910,25510,27932,15046,21085,1943,0,0,0,0,0,0,0,0,0
123,0,0,0,0,26857,2583,24114,0,0,13536,0,0,18219,0,0,0,0,0,0,0,0,0
124,0,0,0,0,35,9244,25769,0,0,35422,7424,0,0,0,0,0,0,0,0,0,0,0
